ID;Nome;Grupo Muscular;Músculo Principal;Músculos Secundários;Nível;Equipamento;Para Situação;Adaptação Dor Joelho;Adaptação Dor Ombro;Adaptação Dor Lombar;Passo a Passo;Erros Comuns;Dica de Ouro Biomecânica
desenvolvimento_sentado;Desenvolvimento de Ombros (Halter);Ombros;Deltoide Anterior;Deltoide Lateral, Tríceps;Intermediário;Halteres;Força Vertical;Seguro para joelhos;Evite se tiver impacto no ombro, use pegada neutra (palmas viradas);Seguro para lombar se tiver encosto firme;1. Sente-se encostado no banco. 2. Halteres na altura dos ombros. 3. Empurre vencendo a cabeça sem travar os cotovelos. 4. Desça com calma.;Arquear a lombar tirando-a do encosto;Mantenha as solas dos pés atadas ao solo para gerar firmeza e manter a pelve estabilizada contra o encosto.
elevacao_lateral;Elevação Lateral com Halteres;Ombros;Deltoide Lateral;Trapezius Superior;Iniciante;Halteres;Criação de Ombros Largos;Seguro para joelhos;Faça no plano escapular (inclinação de 30 graus à frente);Seguro para lombar;1. Em pé ou sentado com halteres ao lado das coxas. 2. Eleve os braços para os lados com cotovelos microflexionados. 3. Desça controlando.;Balançar o tronco para subir ou esticar braços de forma reta;Seus antebraços devem subir levemente inclinados para a frente (plano escapular) para afastar risco de impacto subacromial.
face_pull;Face Pull na Polia;Ombros;Deltoide Posterior;Manguito Rotador, Trapézio, Romboides;Iniciante;Polia / Elástico;Postura e Reabilitação de Ombro;Seguro para joelhos;Tratamento de excelência para dores no ombro anterior;Seguro para lombar;1. Defina a polia na altura do peito/olhos com corda. 2. Segure as pontas e dê dois passos atrás. 3. Puxe a corda em direção ao nariz, afastando as mãos.;Puxar para baixo usando força do bíceps;No final da puxada, faça rotação externa (as mãos devem terminar mais para trás do que os cotovelos) fortalecendo manguito.
crucifixo_invertido;Crucifixo Invertido com Halteres;Ombros;Deltoide Posterior;Romboides, Trapézio;Intermediário;Halteres;Melhora Postural das Costas;Seguro para joelhos;Seguro para ombros;Se tiver dor na lombar, faça deitado de barriga no banco inclinado;1. Incline o tronco à frente de pé em 45 graus. 2. Afaste os braços para as laterais elevando os halteres. 3. Contraia a parte de trás do ombro.;Usar cargas pesadas e dobrar muito os cotovelos;Mantenha a cabeça neutra e use uma carga leve. Concentre-se em aproximar as escápulas no final do movimento.
rosca_direta;Rosca Direta com Halteres;Bíceps;Bíceps Braquial;Braquial, Braquiorradial;Iniciante;Halteres;Isolamento de Braços;Seguro para joelhos;Seguro para ombros;Seguro para lombar;1. De pé com halteres nas mãos. 2. Flexione os cotovelos trazendo pesos aos ombros mantendo os cotovelos fixos. 3. Desça devagar.;Mover o cotovelo para frente ou balançar a lombar;Cole os cotovelos na linha do tronco e evite usá-los como alavanca. Foco exclusivo no bíceps.
rosca_martelo;Rosca Martelo com Halteres;Bíceps;Braquiorradial / Antebraço;Bíceps Braquial;Iniciante;Halteres;Braços e Pegada Forte;Seguro para joelhos;Seguro para ombros;Seguro para lombar;1. Segure os halteres com pegada neutra (palmas para dentro). 2. Suba alternadamente em direção ao peitoral anterior. 3. Controle a descida.;Soltar o halter rápido sem conter a fase excêntrica;Excelente para quem sente dores nos punhos ao realizar rosca direta convencional.
triceps_corda;Tríceps Corda na Polia;Tríceps;Tríceps Cabeça Lateral;Tríceps Cabeça Curta;Iniciante;Polia;Isolamento de Braço / Academia;Seguro para joelhos;Seguro para ombros;Seguro para lombar;1. Segure a corda fixada na polia alta. 2. Dobre os braços a 90 graus. 3. Estenda para baixo abrindo as pontas da corda no final. 4. Volte devagar.;Abrir os cotovelos para os lados ao estender;Mantenha os ombros estáticos e estenda o braço abrindo a corda no final para maior pico de contração.
triceps_frances_halter;Tríceps Francês com Halter;Tríceps;Tríceps Cabeça Longa;Tríceps Cabeça Lateral;Intermediário;Halteres;Hipertrofia de Braço;Seguro para joelhos;Exige cuidado se tiver dor nos ombros;Apoie bem a lombar ao sentar;1. Sente-se e segure um halter pesado acima da cabeça com as duas mãos. 2. Desça o peso por trás do pescoço. 3. Eleve esticando.;Abrir os cotovelos excessivamente para fora;Manter os cotovelos o mais fechados e apontados para o teto possível isolará melhor a cabeça longa do tríceps.
prancha;Prancha Isométrica;Core;Reto Abdominal;Oblíquos, Transverso do Abdômen;Iniciante;Nenhum (Peso Corporal);Estabilização de Tronco / Casa / Academia;Muito amigável para articulações dos joelhos;Apoie os joelhos se doer o ombro;Melhor exercício clínico para dores e alívio de dor lombar;1. Apoie antebraços e pontas dos pés no chão. 2. Mantenha o corpo em linha reta paralela ao solo. 3. Contraia glúteos e abdômen.;Deixar o quadril cair em direção ao chão (sela lombar);Ative o "bracing" fingindo que vai levar um soco no estômago. Mantenha o pescoço neutro olhando para as mãos.
abdominal_crunch;Abdominal Crunch Clássico;Core;Reto Abdominal (Parte Superior);Transverso;Iniciante;Nenhum (Peso Corporal);Treino em Casa / Clínico;Seguro para joelhos;Seguro para ombros;Não puxe o pescoço de forma alguma;1. Deitado de costas com pés apoiados no chão. 2. Tire os ombros do solo espremendo o abdômen. 3. Expulse o ar na subida.;Puxar a nuca com as mãos gerando rigidez cervical;As mãos devem apoiar as têmporas ou cruzar no peito. O movimento é curto, apenas tirando as escápulas do chão.
bird_dog;Perdigueiro (Bird Dog);Core;Multífidos / Transverso;Glúteos, Eretores de Espinha;Iniciante;Nenhum (Peso Corporal);Prevenção de Lesões / Reabilitação Lombar;Seguro para joelhos (use colchonete macio);Seguro para ombros;Excelente padrão de estabilização da coluna de Stuart McGill;1. Fique em 4 apoios (mãos e joelhos). 2. Estenda o braço direito e a perna esquerda juntos. 3. Sustente 3s. 4. Inverta o lado.;Arquear a lombar ou girar o quadril para o lado;Imagine equilibrar um copo d'água no osso sacro durante os movimentos de braço e perna.
calf_raises;Gêmeos em Pé (Panturrilhas);Pernas;Gastrocnêmio / Solear;Tibial Anterior;Iniciante;Nenhum ou Halteres;Circulação Sanguínea / Apoio Tornozelo;Livre de pressões sobre os joelhos;Seguro para ombros;Seguro para lombar;1. Em pé sobre um degrau ou solo estável. 2. Eleve os calcanhares o máximo possível ficando na ponta dos pés. 3. Desça controlando.;Descer soltando o corpo sem controle excêntrico;Faça uma pausa de 2 segundos posicionando o alongamento máximo na descida para anular o tendão de aquiles.
cat_cow;Alongamento Gato-Camelo;Mobilidade;Eretores de Coluna;Intercostais, Core;Iniciante;Nenhum (Peso Corporal);Mobilidade Coluna / Aquecimento;Seguro para joelhos, use colchonete macio;Seguro para ombros;Excelente para lubrificar as vértebras e diminuir dores lombares;1. Em 4 apoios. 2. Empurre as costas para cima como um gato bravo, olhando para o umbigo. 3. Inverta curvando para baixo, olhando para cima.;Fazer movimentos bruscos e rápidos de estalo;Respire lentamente acompanhando o movimento para lubrificar as facetas articulares da coluna lombar.
alongamento_peitoral;Alongamento de Peito na Parede;Mobilidade;Peitoral Maior;Deltoide Anterior;Iniciante;Nenhum (Parede);Correção de Ombro Caído à Frente;Seguro para joelhos;Foque no alongamento suave sem pinçamento articular;Seguro para lombar;1. Apoie o antebraço em uma quina de parede. 2. Gire o tronco para o lado oposto suavemente. 3. Sustente a posição por 30 segundos.;Forçar com impactos ou empurrões de mola;Mantenha a respiração calma e profunda para liberar a fáscia peitoral que encurta os ombros à frente.
rotação_manguito;Rotação Externa de Ombros;Ombros;Manguito Rotador (Infraespinhal);Redondo Menor;Iniciante;Polia, Elástico ou Halter deitado;Aquecimento de Ombros / Prevenção de Lesão;Seguro para joelhos;Estabilizador principal do complexo de ombros;Seguro para lombar;1. Mantenha o cotovelo colado no tronco a 90 graus. 2. Segure o elástico. 3. Gire o antebraço voluntariamente para fora. 4. Volte de vagar.;Afastar o cotovelo do corpo para usar o deltoide;Coloque uma toalha dobrada debaixo da axila e mantenha-a apertada contra o tronco durante o giro para garantir isolamento.
copenhagen_plank;Prancha de Copenhagen;Abdominais;Adutores do Quadril;Oblíquos, Reto Abdominal, Glúteo Médio;Avançado;Banco;Estabilização Pélvica & Prevenção de Pubalgia;Seguro para joelhos;Seguro para ombros;Seguro e fortalece estabilizadores;1. Deite de lado e apoie a perna de cima em um banco rígido. 2. Eleve o quadril do solo sustentando a perna de baixo no ar. 3. Mantenha linha reta.;Deixar o quadril cair ou rotacionar para a frente;Comece apoiando perto do joelho para reduzir o braço de alavanca se for muito difícil.
tibialis_raise;Elevação Tibial na Parede;Pernas;Tibial Anterior;Tendões do Tornozelo, Sóleo;Iniciante;Parede;Canelite e Proteção de Joelho;Seguro e protege joelhos desacelerando forças;Seguro;Seguro;1. Encoste costas na parede e afaste pés 30-50 cm. 2. Eleve pontas mantendo joelhos estendidos. 3. Segure 1s e retorne lentamente.;Flexionar os joelhos durante a subida;Excelente alongamento e fortalecimento para canela para amortecimento dinâmico de impacto.
pallof_press;Prensa Pallof (Anti-Rotação);Abdominais;Oblíquos do Abdômen;Transverso, Reto Abdominal, Glúteos;Iniciante;Polia ou Elástico;Estabilização de Core e Alívio Lombar;Seguro;Seguro se mantiver ombro alinhado;Extremamente seguro sem flexões de coluna;1. Segure o elástico à altura do peito com ambas as mãos de lado para a polia. 2. Estenda braços à frente resistindo à rotação. 3. Retorne devagar.;Permitir rotação do tronco ou erguer ombros;Mantenha quadris e ombros apontados para a frente; o movimento deve ocorrer apenas nas articulações do braço.
spanish_squat;Agachamento Espanhol (Isometria);Pernas;Quadríceps;Glúteo Máximo, Isquiotibiais;Intermediário;Faixa Elástica Grossa;Reabilitação de Tendão Patelar;Tratamento clínico padrão ouro para tendinopatia patelar;Seguro;Seguro mantendo tronco vertical;1. Passe faixa resistente atrás dos joelhos presa ao poste. 2. Dê passos atrás criando tensão. 3. Agache a 90 graus mantendo tronco reto e segure.;Deixar o tronco inclinar demais à frente;Mantenha o peso nos calcanhares e force o joelho contra a faixa elastica que o puxa à frente.
kelso_shrug;Encolhimento Kelso (Escapular);Costas;Trapézio Médio e Romboides;Deltoide Posterior, Manguito;Iniciante;Halteres;Postura Escapular & Alinhamento de Ombros;Seguro;Alastramento e estabilização de articulação do ombro;Muito seguro no banco;1. Deite de bruços no banco inclinado. 2. Aproxime e afaste as escápulas sem dobrar os cotovelos de forma alguma.;Flexionar braços ativando bíceps em vez das costas;Foque no movimento puro de abrir e fechar as asas escapulares mantendo os cotovelos imóveis.

